,rf,xgb,gbm
2018-06-01,0.026357511365562608,0.02514973303170232,0.02885898065923956
2018-09-01,0.05603757044352899,0.056454624950629424,0.05518535254577554
2018-12-01,0.01292367419883927,0.012886426504939114,0.01597863127485089
2019-03-01,0.27669569800184074,0.27813732557677406,0.2782663206271956
2019-06-01,0.06379329343511345,0.06495471100390407,0.0648163133011815
2019-09-01,0.04895246383252517,0.05272183705319323,0.04877162153339898
