,trade_date,gvkey,weights
0,2018-06-01,AAPL,0.03333333333333333
1,2018-06-01,AXP,0.03333333333333333
2,2018-06-01,BA,0.03333333333333333
3,2018-06-01,CAT,0.03333333333333333
4,2018-06-01,CSCO,0.03333333333333333
5,2018-06-01,CVX,0.03333333333333333
6,2018-06-01,DD,0.03333333333333333
7,2018-06-01,DIS,0.03333333333333333
8,2018-06-01,GS,0.03333333333333333
9,2018-06-01,HD,0.03333333333333333
10,2018-06-01,IBM,0.03333333333333333
11,2018-06-01,INTC,0.03333333333333333
12,2018-06-01,JNJ,0.03333333333333333
13,2018-06-01,JPM,0.03333333333333333
14,2018-06-01,KO,0.03333333333333333
15,2018-06-01,MCD,0.03333333333333333
16,2018-06-01,MMM,0.03333333333333333
17,2018-06-01,MRK,0.03333333333333333
18,2018-06-01,MSFT,0.03333333333333333
19,2018-06-01,NKE,0.03333333333333333
20,2018-06-01,PFE,0.03333333333333333
21,2018-06-01,PG,0.03333333333333333
22,2018-06-01,RTX,0.03333333333333333
23,2018-06-01,TRV,0.03333333333333333
24,2018-06-01,UNH,0.03333333333333333
25,2018-06-01,V,0.03333333333333333
26,2018-06-01,VZ,0.03333333333333333
27,2018-06-01,WBA,0.03333333333333333
28,2018-06-01,WMT,0.03333333333333333
29,2018-06-01,XOM,0.03333333333333333
30,2018-06-04,AAPL,0.02718460001051426
31,2018-06-04,AXP,0.02718460001051426
32,2018-06-04,BA,0.02718460001051426
33,2018-06-04,CAT,0.038662612438201904
34,2018-06-04,CSCO,0.02718460001051426
35,2018-06-04,CVX,0.03918278217315674
36,2018-06-04,DD,0.029341133311390877
37,2018-06-04,DIS,0.030639009550213814
38,2018-06-04,GS,0.02718460001051426
39,2018-06-04,HD,0.02718460001051426
40,2018-06-04,IBM,0.02718460001051426
41,2018-06-04,INTC,0.02718460001051426
42,2018-06-04,JNJ,0.02718460001051426
43,2018-06-04,JPM,0.03566579893231392
44,2018-06-04,KO,0.04100661724805832
45,2018-06-04,MCD,0.02718460001051426
46,2018-06-04,MMM,0.06906207650899887
47,2018-06-04,MRK,0.02718460001051426
48,2018-06-04,MSFT,0.03007875196635723
49,2018-06-04,NKE,0.02718460001051426
50,2018-06-04,PFE,0.029823482036590576
51,2018-06-04,PG,0.027225898578763008
52,2018-06-04,RTX,0.05808371677994728
53,2018-06-04,TRV,0.029991205781698227
54,2018-06-04,UNH,0.02718460001051426
55,2018-06-04,V,0.03496203571557999
56,2018-06-04,VZ,0.03288237378001213
57,2018-06-04,WBA,0.0424472913146019
58,2018-06-04,WMT,0.050360843539237976
59,2018-06-04,XOM,0.02718460001051426
60,2018-06-05,AAPL,0.027184441685676575
61,2018-06-05,AXP,0.027184441685676575
62,2018-06-05,BA,0.027184441685676575
63,2018-06-05,CAT,0.03866293281316757
64,2018-06-05,CSCO,0.027184441685676575
65,2018-06-05,CVX,0.039182331413030624
66,2018-06-05,DD,0.02934187278151512
67,2018-06-05,DIS,0.03063853085041046
68,2018-06-05,GS,0.027184441685676575
69,2018-06-05,HD,0.027184441685676575
70,2018-06-05,IBM,0.027184441685676575
71,2018-06-05,INTC,0.027184441685676575
72,2018-06-05,JNJ,0.027184441685676575
73,2018-06-05,JPM,0.03566592186689377
74,2018-06-05,KO,0.04100741818547249
75,2018-06-05,MCD,0.027184441685676575
76,2018-06-05,MMM,0.06906329095363617
77,2018-06-05,MRK,0.027184441685676575
78,2018-06-05,MSFT,0.030078252777457237
79,2018-06-05,NKE,0.027184441685676575
80,2018-06-05,PFE,0.02982395701110363
81,2018-06-05,PG,0.027225283905863762
82,2018-06-05,RTX,0.05808302387595177
83,2018-06-05,TRV,0.029991628602147102
84,2018-06-05,UNH,0.027184441685676575
85,2018-06-05,V,0.03496275097131729
86,2018-06-05,VZ,0.03288227319717407
87,2018-06-05,WBA,0.042447369545698166
88,2018-06-05,WMT,0.05036099627614021
89,2018-06-05,XOM,0.027184441685676575
90,2018-06-06,AAPL,0.027034765109419823
91,2018-06-06,AXP,0.027034765109419823
92,2018-06-06,BA,0.027034765109419823
93,2018-06-06,CAT,0.03924570232629776
94,2018-06-06,CSCO,0.027034765109419823
95,2018-06-06,CVX,0.03755443915724754
96,2018-06-06,DD,0.03188081830739975
97,2018-06-06,DIS,0.02943330444395542
98,2018-06-06,GS,0.027034765109419823
99,2018-06-06,HD,0.027034765109419823
100,2018-06-06,IBM,0.027034765109419823
101,2018-06-06,INTC,0.027034765109419823
102,2018-06-06,JNJ,0.027034765109419823
103,2018-06-06,JPM,0.035917021334171295
104,2018-06-06,KO,0.04267598316073418
105,2018-06-06,MCD,0.027034765109419823
106,2018-06-06,MMM,0.070243701338768
107,2018-06-06,MRK,0.027034765109419823
108,2018-06-06,MSFT,0.028776362538337708
109,2018-06-06,NKE,0.027034765109419823
110,2018-06-06,PFE,0.031472355127334595
111,2018-06-06,PG,0.027034765109419823
112,2018-06-06,RTX,0.05390482023358345
113,2018-06-06,TRV,0.031854599714279175
114,2018-06-06,UNH,0.027034765109419823
115,2018-06-06,V,0.036987338215112686
116,2018-06-06,VZ,0.03273218125104904
117,2018-06-06,WBA,0.042257390916347504
118,2018-06-06,WMT,0.04954259470105171
119,2018-06-06,XOM,0.027034765109419823
120,2018-06-07,AAPL,0.027034765109419823
121,2018-06-07,AXP,0.027034765109419823
122,2018-06-07,BA,0.027034765109419823
123,2018-06-07,CAT,0.03924570232629776
124,2018-06-07,CSCO,0.027034765109419823
125,2018-06-07,CVX,0.03755443915724754
126,2018-06-07,DD,0.03188082203269005
